Country Name;Country Code;Indicator Name;Indicator Code;gdp2001;gini2001;nat2001
Aruba;ABW;GDP per capita (current US$);NY.GDP.PCAP.CD;20670.36701;;14.615
Africa Eastern and Southern;AFE;GDP per capita (current US$);NY.GDP.PCAP.CD;591.0884442;;40.87231318
Afghanistan;AFG;GDP per capita (current US$);NY.GDP.PCAP.CD;;;48.419
Africa Western and Central;AFW;GDP per capita (current US$);NY.GDP.PCAP.CD;516.9279338;;43.19463717
Angola;AGO;GDP per capita (current US$);NY.GDP.PCAP.CD;527.3335285;;48.293
Albania;ALB;GDP per capita (current US$);NY.GDP.PCAP.CD;1281.659393;;17.321
Andorra;AND;GDP per capita (current US$);NY.GDP.PCAP.CD;22970.51221;;12.6
Arab World;ARB;GDP per capita (current US$);NY.GDP.PCAP.CD;2536.786256;;29.14368166
United Arab Emirates;ARE;GDP per capita (current US$);NY.GDP.PCAP.CD;31280.75586;;17.043
Argentina;ARG;GDP per capita (current US$);NY.GDP.PCAP.CD;7208.373114;53.3;19.702
Armenia;ARM;GDP per capita (current US$);NY.GDP.PCAP.CD;694.4234554;35.4;13.062
American Samoa;ASM;GDP per capita (current US$);NY.GDP.PCAP.CD;;;
Antigua and Barbuda;ATG;GDP per capita (current US$);NY.GDP.PCAP.CD;10367.31961;;19.943
Australia;AUS;GDP per capita (current US$);NY.GDP.PCAP.CD;19490.86111;33.5;13.1
Austria;AUT;GDP per capita (current US$);NY.GDP.PCAP.CD;24537.51426;;9.8
Azerbaijan;AZE;GDP per capita (current US$);NY.GDP.PCAP.CD;703.6838434;36.5;14.7
Burundi;BDI;GDP per capita (current US$);NY.GDP.PCAP.CD;134.3634269;;43.274
Belgium;BEL;GDP per capita (current US$);NY.GDP.PCAP.CD;22995.15752;;11.2
Benin;BEN;GDP per capita (current US$);NY.GDP.PCAP.CD;518.0674789;;42.76
Burkina Faso;BFA;GDP per capita (current US$);NY.GDP.PCAP.CD;267.0975996;;46.442
Bangladesh;BGD;GDP per capita (current US$);NY.GDP.PCAP.CD;415.0344043;;28.158
Bulgaria;BGR;GDP per capita (current US$);NY.GDP.PCAP.CD;1770.913534;;8.8
Bahrain;BHR;GDP per capita (current US$);NY.GDP.PCAP.CD;12868.17692;;22.271
Bahamas; The;BHS;GDP per capita (current US$);27098.15632;;19.507
Bosnia and Herzegovina;BIH;GDP per capita (current US$);NY.GDP.PCAP.CD;1530.814001;30;11.546
Belarus;BLR;GDP per capita (current US$);NY.GDP.PCAP.CD;1244.373185;30.6;9.3
Belize;BLZ;GDP per capita (current US$);NY.GDP.PCAP.CD;3404.420498;;30.431
Bermuda;BMU;GDP per capita (current US$);NY.GDP.PCAP.CD;58883.95943;;
Bolivia;BOL;GDP per capita (current US$);NY.GDP.PCAP.CD;948.8702113;57.4;30.823
Brazil;BRA;GDP per capita (current US$);NY.GDP.PCAP.CD;3156.798771;58.4;20.654
Barbados;BRB;GDP per capita (current US$);NY.GDP.PCAP.CD;11209.42112;;14.095
Brunei Darussalam;BRN;GDP per capita (current US$);NY.GDP.PCAP.CD;16472.00329;;23.269
Bhutan;BTN;GDP per capita (current US$);NY.GDP.PCAP.CD;764.4328082;;28.17
Botswana;BWA;GDP per capita (current US$);NY.GDP.PCAP.CD;3278.016079;;29.498
Central African Republic;CAF;GDP per capita (current US$);NY.GDP.PCAP.CD;250.3571459;;41.378
Canada;CAN;GDP per capita (current US$);NY.GDP.PCAP.CD;23822.06012;;11.2
Central Europe and the Baltics;CEB;GDP per capita (current US$);NY.GDP.PCAP.CD;4352.340338;;9.712223889
Switzerland;CHE;GDP per capita (current US$);NY.GDP.PCAP.CD;39727.84667;;11
Channel Islands;CHI;GDP per capita (current US$);NY.GDP.PCAP.CD;41804.37092;;12.339
Chile;CHL;GDP per capita (current US$);NY.GDP.PCAP.CD;4574.594716;;17.112
China;CHN;GDP per capita (current US$);NY.GDP.PCAP.CD;1053.108243;;14.64
Cote d'Ivoire;CIV;GDP per capita (current US$);NY.GDP.PCAP.CD;664.708695;;41.315
Cameroon;CMR;GDP per capita (current US$);NY.GDP.PCAP.CD;651.6705781;42.1;41.576
Congo; Dem. Rep.;COD;GDP per capita (current US$);405.2162186;;46.022
